Retailer,Invoice Date,Price per Unit,Units Sold,Total Sales,Operating Profit,Month,Day,profit_percentage,Competitor Price,Week,lag_price,lag_avg_price,E_d,Region_Midwest,Region_Northeast,Region_South,Region_Southeast,Region_West,State_Arkansas,State_California,State_Colorado,State_Florida,State_Idaho,State_Indiana,State_Iowa,State_Louisiana,State_Maine,State_Maryland,State_Missouri,State_Nevada,State_New York,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_Texas,State_Utah,State_Vermont,State_Washington,State_West Virginia,State_Wisconsin,City_Albany,City_Baltimore,City_Boise,City_Burlington,City_Charleston,City_Columbus,City_Denver,City_Des Moines,City_Houston,City_Indianapolis,City_Las Vegas,City_Little Rock,City_Miami,City_Milwaukee,City_New Orleans,City_Oklahoma City,City_Orlando,City_Philadelphia,City_Portland,City_Salt Lake City,City_San Francisco,City_Seattle,City_St. Louis,Product_Men's Apparel,Product_Men's Athletic Footwear,Product_Men's Street Footwear,Product_Women's Apparel,Product_Women's Athletic Footwear,Product_Women's Street Footwear,Year_2020,Year_2021,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Sales Method_In-store,Sales Method_Online,Sales Method_Outlet
West Gear,2020-01-06,37.0,80,2960.0,0.004967628927381402,January,6,6.0,0.3009345794392523,2,37.0,0.3795454545454545,0.4235159867794455,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
West Gear,2020-01-06,47.0,70,3290.0,0.006512318828685391,January,6,7.0,0.6523364485981308,2,37.0,0.3795454545454545,0.4235159867794455,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
West Gear,2020-01-06,50.0,250,12500.0,0.20127514591017703,January,6,55.0,0.7297196261682243,2,47.0,0.3795454545454545,0.4235159867794455,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
West Gear,2020-01-12,37.0,70,2590.0,0.00431692464258162,January,12,6.0,0.6523364485981308,2,50.0,0.3795454545454545,0.42403637207441497,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
West Gear,2020-01-12,46.0,52,2392.0,0.004669829128572133,January,12,7.0,0.42691588785046725,2,37.0,0.3795454545454545,0.42403637207441497,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
West Gear,2020-01-12,50.0,200,10000.0,0.16097251565793824,January,12,55.0,0.45233644859813077,2,46.0,0.3795454545454545,0.42403637207441497,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
West Gear,2020-01-18,44.0,60,2640.0,0.0044048576540410495,January,18,6.0,0.23551401869158878,3,44.0,0.44886363636363635,0.42322539513476837,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
West Gear,2020-01-18,55.0,47,2585.0,0.005065820790177766,January,18,7.0,0.6579439252336448,3,44.0,0.44886363636363635,0.42322539513476837,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
West Gear,2020-01-18,60.0,175,10500.0,0.169033041708386,January,18,55.0,0.40249221183800615,3,55.0,0.44886363636363635,0.42322539513476837,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
West Gear,2020-01-24,47.0,62,2914.0,0.004886730556838727,January,24,6.0,0.42691588785046725,4,47.0,0.5113636363636364,0.42327881633064207,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
